moth,wb,trial,lax_count,lba_count,lsa_count,ldvm_count,ldlm_count,rdlm_count,rdvm_count,rsa_count,rba_count,rax_count,lax1,lba1,lsa1,ldvm1,ldlm1,rdlm1,rdvm1,rsa1,rba1,rax1
2024_11_01,1049,0,2,1,1,1,1,1,1,1,1,1,0.3466042154566744,-0.2084252769124265,0.5152224824355972,-0.2201345621322256,0.4192037470725995,0.3817330210772833,-0.2435531325718241,0.7423887587822015,-0.1850067064728279,0.7517564402810304
2024_11_01,1050,0,2,1,1,1,1,1,1,1,1,1,0.2830188679245283,0.3938679245283019,0.5141509433962265,-0.2334867061578729,0.410377358490566,0.3584905660377358,-0.2617881250861,0.7169811320754716,-0.2523543187766908,0.7334905660377359
2024_11_01,1057,0,1,1,1,1,1,1,1,1,2,1,0.2912844036697247,-0.1078039556945026,0.5481651376146789,-0.1789086924291746,0.4334862385321101,0.3646788990825688,-0.2201953137589841,0.768348623853211,-0.2293701184989417,0.036697247706422
2024_11_01,1071,0,1,1,1,2,2,1,1,1,1,1,0.2666666666666666,-0.1379332313965341,0.5264367816091954,-0.1977042983350323,-0.0321844206591912,0.3218390804597701,-0.2574753652735304,0.7655172413793103,0.0160919540229885,0.0160919540229885
2024_11_01,1080,0,2,1,1,2,1,1,1,1,1,1,0.3147321428571428,0.4174107142857143,0.4977678571428571,-0.1808146543797634,0.4285714285714285,0.328125,-0.225460248053779,0.7232142857142857,-0.3147514354018104,0.6696428571428571
2024_11_01,1083,0,1,1,1,2,1,1,1,1,1,1,0.2795454545454545,-0.1795549227442915,0.5022727272727273,-0.1954648526077096,0.4227272727272727,0.3227272727272727,-0.2477403364446554,0.7340909090909091,-0.3909297052154195,0.6772727272727272
2024_11_01,1085,0,1,1,1,1,1,1,1,1,1,1,0.2634032634032634,-0.1351959517657193,0.5198135198135199,-0.2074558570198105,0.4079254079254079,0.31002331002331,-0.2517441860465116,0.7365967365967366,-0.2867086563307493,0.662004662004662
2024_11_01,1096,0,1,1,1,1,1,1,1,1,1,1,0.2837837837837837,-0.1711737878672068,0.4954954954954955,-0.1869397946444495,0.4234234234234234,0.3243243243243243,-0.2229763815638615,0.7207207207207207,-0.2905449820377589,0.704954954954955
2024_11_01,1108,0,1,1,1,1,1,1,1,1,1,1,0.2909090909090909,0.3818181818181818,0.4636363636363636,-0.2272680844109416,0.3931818181818182,0.2909090909090909,-0.2477222120079263,0.7636363636363637,-0.4318093603807889,0.5909090909090909
2024_11_01,1111,0,1,1,1,1,1,1,1,1,1,1,0.2752293577981651,0.3853211009174312,0.4747706422018348,-0.2270630311725987,0.3967889908256881,0.2958715596330275,-0.2683472186585257,0.7522935779816514,-0.4151354408307107,0.7018348623853211
