"moth","wb","trial","lax_count","lba_count","lsa_count","ldvm_count","ldlm_count","rdlm_count","rdvm_count","rsa_count","rba_count","rax_count","lax1","lax2","lax3","lax4","lba1","lba2","lba3","lba4","lba5","lsa1","lsa2","lsa3","lsa4","ldvm1","ldvm2","ldvm3","ldvm4","ldlm1","ldlm2","rdlm1","rdlm2","rdvm1","rdvm2","rdvm3","rsa1","rsa2","rsa3","rsa4","rba1","rba2","rba3","rba4","rax1","rax2","rax3","rax4"
"2024_11_01",1029,"pre",1,0,1,1,1,1,0,1,0,0,0.20537897310513448,NA,NA,NA,NA,NA,NA,NA,NA,0.4963325183374083,NA,NA,NA,-0.28114468498314954,NA,NA,NA,0.37897310513447435,NA,0.29095354523227385,NA,NA,NA,NA,0.7530562347188264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1030,"pre",2,0,1,1,1,1,1,1,0,0,0.2540792540792541,0.6713286713286714,NA,NA,NA,NA,NA,NA,NA,0.5104895104895105,NA,NA,NA,-0.2564394154773413,NA,NA,NA,0.40559440559440557,NA,0.34265734265734266,NA,-0.2890771592653665,NA,NA,0.7785547785547785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1031,"pre",1,0,1,1,1,1,1,1,0,0,0.2334096109839817,NA,NA,NA,NA,NA,NA,NA,NA,0.4965675057208238,NA,NA,NA,-0.2196889868122745,NA,NA,NA,0.40045766590389015,NA,0.3157894736842105,NA,-0.2608806718395759,NA,NA,0.7505720823798627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1032,"pre",1,1,1,1,1,1,1,1,0,0,0.3686746987951807,NA,NA,NA,0.40481927710843374,NA,NA,NA,NA,0.4963855421686747,NA,NA,NA,-0.2746655518394649,NA,NA,NA,0.40963855421686746,NA,0.3469879518072289,NA,-0.3132151029748284,NA,NA,0.7493975903614458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1033,"pre",1,0,1,1,1,1,1,1,0,0,0.7298578199052133,NA,NA,NA,NA,NA,NA,NA,NA,0.5071090047393365,NA,NA,NA,-0.23934603662878468,NA,NA,NA,0.4004739336492891,NA,0.3459715639810427,NA,-0.2748924777122675,NA,NA,0.7464454976303317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1034,"pre",1,0,1,1,1,1,1,1,0,0,0.27923627684964203,NA,NA,NA,NA,NA,NA,NA,NA,0.5250596658711217,NA,NA,NA,-0.24343263371699397,NA,NA,NA,0.4033412887828162,NA,0.3031026252983294,NA,-0.2744583615436696,NA,NA,0.7326968973747017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1036,"pre",1,1,1,1,1,1,1,1,0,0,0.25061425061425063,NA,NA,NA,0.3832923832923833,NA,NA,NA,NA,0.515970515970516,NA,NA,NA,-0.24816025175502293,NA,NA,NA,0.3931203931203931,NA,0.3144963144963145,NA,-0.2751876059065601,NA,NA,0.7469287469287469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1042,"pre",1,0,1,1,1,1,1,1,1,2,0.45871559633027525,NA,NA,NA,NA,NA,NA,NA,NA,0.5321100917431193,NA,NA,NA,-0.18579706503989565,NA,NA,NA,0.44954128440366975,NA,0.3922018348623853,NA,-0.2339666744946832,NA,NA,0.7477064220183486,NA,NA,NA,-0.24543562912677563,NA,NA,NA,0.7339449541284404,0.9839449541284404,NA,NA
"2024_11_01",1043,"pre",1,0,2,1,1,1,1,1,2,1,0.6906976744186046,NA,NA,NA,NA,NA,NA,NA,NA,-0.03720811426381999,0.5255813953488372,NA,NA,-0.20697013559249877,NA,NA,NA,0.4325581395348837,NA,0.3697674418604651,NA,-0.2651078141297176,NA,NA,0.7767441860465116,NA,NA,NA,-0.269758828412695,-0.016278549990421134,NA,NA,0.7581395348837209,NA,NA,NA
"2024_11_01",1045,"pre",1,0,1,1,1,1,1,1,1,1,0.31105990783410137,NA,NA,NA,NA,NA,NA,NA,NA,0.5391705069124424,NA,NA,NA,-0.18434179136846668,NA,NA,NA,0.42626728110599077,NA,0.35944700460829493,NA,-0.23273151160268926,NA,NA,0.7534562211981567,NA,NA,NA,-0.23273151160268926,NA,NA,NA,0.9769585253456221,NA,NA,NA
