feature,boost_importance,rbf_importance
rax_count,0.0,0.05206766516513931
lsa_count,0.0,0.17459712758347026
ldlm_count,0.0,0.09137606898547428
rdlm_count,0.0,0.025942136348361018
rdvm_count,0.0,0.04117165159767522
rsa_count,0.0,0.02848969013493187
rba_count,0.014098859,0.054506634872908244
lba_count,0.019204259,0.18984888925466958
lax_count,0.15200563,0.3612368459776248
rdvm1,0.2513302,0.3303149869958232
rax1,0.2695085,0.312835008321828
ldvm1,0.33511803,0.0807017538058432
rba1,0.4326855,1.0
ldvm_count,0.43332928,0.514866631999304
rdlm1,0.72860795,0.4301184066674369
lba1,0.7989222,0.3316242729954481
lsa1,0.83838385,0.6173943084031451
rsa1,0.8652218,0.5020162834872663
ldlm1,0.88201,0.3498860193979737
lax1,1.0,0.46922301578819087
